AOSNUMBER,City,County,State
AOS003615,Carson City,,NV
AOS002334,Fairborn,Greene County,OH
AOS002989,Anderson,Shasta County,CA
AOS003005,Attleboro,Bristol County,MA
AOS003034,Beavercreek,Greene County,OH
AOS003078,Brown Deer,Milwaukee County,WI
AOS003089,Hamilton,Butler County,OH
AOS003103,Westminster,Carroll County,MD
AOS003109,Cayuga Nation,Ontario County,NY
AOS003128,Cincinnati,Hamilton County,OH
AOS003285,Fort Wayne,Allen County,IN
AOS003309,Junction City,Geary County,KS
AOS003369,Henderson,Clark County,NV
AOS003412,Newport,Jackson County,AR
AOS003440,Geneva,Kane County,IL
AOS003518,Youngstown,Mahoning County,OH
AOS003551,Celina,Mercer County,OH
AOS003596,Morrow,Clayton County,GA
AOS003600,Mountain Brook,Jefferson County,AL
AOS003601,Munfordville,Hart County,KY
AOS003668,Oregon City,Clackamas County,OR
AOS003699,Pelham,Shelby County,AL
AOS003707,Phoenixville,Chester County,PA
AOS003708,Pickens,Pickens County,SC
AOS003793,Rome,Oneida County,NY
AOS003863,South Padre Island,Cameron County,TX
AOS003958,Utica,Oneida County,NY
AOS003997,West Dundee,Kane County,IL
AOS003998,West Hempfield Township,Lancaster County,PA
AOS004030,Quitman,Wood County,TX
AOS009268,Geneva,Ontario County,NV
AOS009271,Jenks,Tulsa County,OK
AOS012178,Zapata,Zapata County,TX
AOS001159,Kenton,Hardin County,OH
AOS004412,Carmi,White County,IL
AOS004804,Moore,Cleveland County,OK
AOS004807,Pawnee,Pawnee County,OK
AOS006807,Hawthorne,Los Angeles County,CA
AOS006817,Socorro,Socorro County,NM
AOS006818,Socorro,Socorro County,NM
AOS006820,Burlington,Boone County,KY
AOS006853,Pagosa Springs,Archuleta County,CO
AOS006905,Azle,Tarrant County,TX
AOS006906,Bella Villa,St. Louis County,MO
AOS006907,Fitzgerald,Ben Hill County,GA
AOS006908,Bentonville,Benton County,AR
AOS006909,Asheville,Buncombe County,NC
AOS006910,Bonanza,Sebastian County,AR
AOS006911,Brantley,Crenshaw County,AL
AOS006912,Brazoria,Brazoria County,TX
AOS006913,Breckenridge,Stephens County,TX
AOS006914,Port Lavaca,Calhoun County,TX
AOS006915,Anthony,El Paso County,TX
AOS006916,Norway,Dickinson County,MI
AOS006917,Columbia,Richland County,SC
AOS006918,Corrales,Sandoval County,NM
AOS006919,Daleville,Delaware County,IN
AOS006920,Cross Roads,Denton County,TX
AOS006921,Dickson,Dickinson County,TN
AOS006922,Dumas,Moore County,TX
AOS006923,Eagle Point,Jackson County,OR
AOS006924,Fayetteville,Fayette County,WV
AOS006925,Fort Recovery,Mercer County,OH
AOS006926,Fyffe,DeKalb County,AL
AOS006927,Lucedale,George County,MS
AOS006928,Cut Bank,Glacier County,MT
AOS006929,Hope Mills,Cumberland County,NC
AOS006930,Jamestown,Russell County,KY
AOS006931,Covington,Kenton County,KY
AOS006932,Pauma Valley,San Diego County,CA
AOS006933,Lincoln,Grafton County,NH
AOS006934,Lindsay,Garvin County,OK
AOS006935,Los Lunas,Valencia County,TN
AOS006936,Louisa,Lawrence County,KY
AOS006937,Fairview,Major County,OK
AOS006938,Marmaduke,Greene County,AR
AOS006939,MIlan,Gibson County,TN
AOS006940,Luxora,Mississippi County,AR
AOS006941,Palos Hills,Cook County,IL
AOS006942,Newport,Jackson County,AR
AOS006943,Niles,Trumbull County,OH
AOS006944,Noble,Cleveland County,OK
AOS006945,Ogden,Weber County,UT
AOS006946,Osage City,Osage County,KS
AOS006947,Perryville,Perry County,MO
AOS006948,Pinehurst,Moore County,NC
AOS006949,Santa Fe,Santa Fe County,NM
AOS006950,Ballinger,Runnels County,TX
AOS006951,Rupert,Minidoka County,ID
AOS006952,Saguache,Saguache County,CO
AOS006953,San Luis,Yuma County,AZ
AOS006954,Santa Paula,Ventura County,CA
AOS006955,Wallace,Shoshone County,ID
AOS006956,Phelan,San Bernardino County,CA
AOS006957,Fairfield,Solano County,CA
AOS006958,South Euclid,Cuyahoga County,OH
AOS006959,Temple,"Haralson County, Carroll County",GA
AOS006960,Redding,Shasta County,CA
AOS006961,Mount Pleasant,Titus County,TX
AOS006962,Monticello,Drew County,AR
AOS006963,Fayetteville,Washington County,AR
AOS006964,Huntsville,Walker County,TX
AOS006965,Ward,Lonoke County,AR
AOS006966,Warrior,"Blount County, Jefferson County",AL
AOS006967,Waterloo,Black Hawk County,IA
AOS006968,Jackson,Hinds County,MS
AOS006970,Marquette,Marquette County,MI
AOS006973,Palos Hills,Cook County,IL
AOS007176,Mount Pleasant,Titus County,TX
AOS007242,Austin,"Williamson County, Travis County, Hays County",TX
AOS007471,Dillingham,Dillingham Census Area,AK
AOS007516,Kiowa,Elbert County,CO
AOS007597,Carlsbad,Eddy County,NM
AOS007654,Valley,Douglas County,NE
AOS007752,Fort Valley,Peach County,GA
AOS007782,Houston,‎Harris County‎,TX
AOS008373,Niceville,Okaloosa County,FL
AOS009069,Idaho City,Boise County,ID
AOS009070,Red Lodge,Carbon County,MT
AOS009074,Enid,Garfield County,OK
AOS009078,Columbia,Richland County,SC
AOS009079,Diboll,Angelina County,TX
AOS009081,Greer,Greenville County,SC
AOS009086,Tierra Amarilla,Rio Arriba County,NM
AOS009091,Thermopolis,Hot Springs County,WY
AOS009093,West Jefferson,Ashe County,NC
AOS011734,Arlington,Snohomish County,WA
AOS012185,Marfa,Presidio County,TX
AOS011727,Mescalero,Otero County,NM
AOS000720,Brownsville,Cameron County,TX
AOS000748,Laredo,Webb County,TX
AOS000024,Canton,Stark County,OH
AOS008971,Sheridan,Sheridan County,WY
AOS011676,Taholah,Grays Harbor County,WA
AOS002691,Madelia,Watonwan County,MN
AOS000008,Newburgh,Orange County,NY
AOS000263,Longview,Gregg County,TX
